type_document,categorie_recherche,numero,annee,objet,categorie,service_responsable,zone,mode_passation,budget_estime_mad,montant_attribue_mad,date_publication,date_limite,statut,attributaire,priorite,nature_donnees
marché public,marchés publics,MP-2024-001,2024,Location de véhicules pour missions de terrain,Logistique,Service maintenance,Skoura,Consultation,7225000,6667660,2024-08-17,2024-09-09,Clôturé,Atlas Démo Services,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-002,2024,Maintenance d'équipements électromécaniques,Maintenance,Service irrigation,Tinghir,Appel d'offres simplifié,3500000,,2024-03-15,2024-03-30,Annulé,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-003,2024,Entretien d'ouvrages hydro-agricoles,Travaux hydrauliques,Service informatique,Zagora,Appel d'offres simplifié,6925000,,2024-03-18,2024-05-02,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-004,2024,Aménagement de pistes rurales,Aménagement rural,Service irrigation,Tinghir,Appel d'offres simplifié,7400000,,2024-04-02,2024-04-24,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-005,2024,Aménagement de pistes rurales,Aménagement rural,Service équipements,Zagora,Consultation,3525000,3062727,2024-08-18,2024-09-07,Clôturé,Data Démo Maroc 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-006,2024,Fourniture de serveurs et stockage,Informatique,Service maintenance,Boumalne-Dadès,Consultation,6750000,5583508,2024-06-15,2024-07-28,Clôturé,Aqua Démo Engineering,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-007,2024,Réhabilitation d'un réseau d'irrigation,Irrigation,Service informatique,Ouarzazate,Appel d'offres ouvert,1000000,,2024-11-02,2024-11-24,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-008,2024,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service études,Boumalne-Dadès,Appel d'offres simplifié,7450000,7038537,2024-04-18,2024-05-07,Clôturé,Aqua Démo Engineering,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-009,2024,Acquisition de postes informatiques,Informatique,Service irrigation,Boumalne-Dadès,Appel d'offres simplifié,6125000,5643615,2024-06-14,2024-07-12,Clôturé,Oasis Démo Ingénierie,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-010,2024,Fourniture de matériel de pompage,Irrigation,Service logistique,Ouarzazate,Appel d'offres ouvert,5875000,4926155,2024-04-07,2024-05-09,Attribué,Valley Démo Maintenance,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
