type_document,numero,date,objet,service_responsable,fournisseur,montant_mad,statut,nature_donnees
bon de commande,BC-2026-001,2026-03-22,Fourniture de consommables informatiques,Service irrigation,Aqua Démo Engineering,56000,Livré,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-002,2026-08-11,Achat de pièces de maintenance,Service maintenance,Agri Démo Maroc 2,60000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-003,2026-09-25,Prestations de transport local,Service des marchés,Build Démo Plus 2,43000,Réception partielle,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-004,2026-04-18,Prestations de maintenance légère,Service développement agricole,Atlas Démo Services 2,142000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-005,2026-06-06,Achat de matériel de terrain,Service logistique,Palmier Démo Logistique 2,147000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-006,2026-05-20,Achat de pièces de maintenance,Service informatique,Réseau Démo Technologies 2,79000,Réception partielle,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-007,2026-05-08,Fourniture de petit matériel de bureau,Service informatique,Build Démo Plus,133000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-008,2026-08-12,Prestations de maintenance légère,Service études,Aqua Démo Engineering 2,81000,Livré,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-009,2026-09-13,Prestations de transport local,Service logistique,Nomad Démo Transport 3,45000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-010,2026-01-10,Fourniture de consommables informatiques,Service logistique,Sud Démo Informatique 3,121000,Réception partielle,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-011,2026-05-24,Achat de pièces de maintenance,Service informatique,Réseau Démo Technologies 2,145000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-012,2026-09-23,Achat de pièces de maintenance,Service irrigation,Nomad Démo Transport,165000,Réception partielle,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-013,2026-04-08,Prestations de maintenance légère,Service informatique,Oasis Démo Ingénierie,171000,Livré,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-014,2026-01-04,Fourniture de petit matériel de bureau,Service développement agricole,Agri Démo Maroc 2,33000,Réception partielle,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
bon de commande,BC-2026-015,2026-03-01,Achat de pièces de maintenance,Service maintenance,Aqua Démo Engineering 2,175000,En cours,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
